assembly	accession	serotype	segment	host	db_xref
GCA_038165525.1	CY116396	H1N1	4	swine	taxon:1176045
GCA_038165525.1	CY116397	H1N1	5	swine	taxon:1176045
GCA_038165525.1	CY116398	H1N1	6	swine	taxon:1176045
GCA_038165525.1	CY116399	H1N1	7	swine	taxon:1176045
GCA_038165525.1	CY116400	H1N1	8	swine	taxon:1176045
GCA_038165835.1	CY037926	H1N1	1	swine	taxon:624784
GCA_038165835.1	CY037927	H1N1	2	swine	taxon:624784
GCA_038165835.1	CY037928	H1N1	3	swine	taxon:624784
GCA_038165835.1	CY037929	H1N1	4	swine	taxon:624784
GCA_038165835.1	CY037930	H1N1	5	swine	taxon:624784
GCA_038165835.1	CY037931	H1N1	6	swine	taxon:624784
GCA_038165835.1	CY037932	H1N1	7	swine	taxon:624784
GCA_038165835.1	CY037933	H1N1	8	swine	taxon:624784
GCA_038168325.1	CY116249	H1N1	1	swine	taxon:1176066
GCA_038168325.1	CY116250	H1N1	2	swine	taxon:1176066
GCA_038168325.1	CY116251	H1N1	3	swine	taxon:1176066
GCA_038168325.1	CY116252	H1N1	4	swine	taxon:1176066
GCA_038168325.1	CY116253	H1N1	5	swine	taxon:1176066
GCA_038168325.1	CY116254	H1N1	6	swine	taxon:1176066
GCA_038168325.1	CY116255	H1N1	7	swine	taxon:1176066
GCA_038168325.1	CY116256	H1N1	8	swine	taxon:1176066
GCA_038168675.1	CY116156	H1N2	1	swine	taxon:1176100
GCA_038168675.1	CY116157	H1N2	2	swine	taxon:1176100
GCA_038168675.1	CY116158	H1N2	3	swine	taxon:1176100
GCA_038168675.1	CY116159	H1N2	4	swine	taxon:1176100
GCA_038168675.1	CY116160	H1N2	5	swine	taxon:1176100
GCA_038168675.1	CY116161	H1N2	6	swine	taxon:1176100
GCA_038168675.1	CY116162	H1N2	7	swine	taxon:1176100
GCA_038168675.1	CY116163	H1N2	8	swine	taxon:1176100
GCA_038164835.1	KR700598	H1N2	1	Sus scrofa	taxon:1654146
GCA_038164835.1	KR700599	H1N2	2	Sus scrofa	taxon:1654146
GCA_038164835.1	KR700600	H1N2	3	Sus scrofa	taxon:1654146
GCA_038164835.1	KR700601	H1N2	4	Sus scrofa	taxon:1654146
GCA_038164835.1	KR700602	H1N2	5	Sus scrofa	taxon:1654146
GCA_038164835.1	KR700603	H1N2	6	Sus scrofa	taxon:1654146
GCA_038164835.1	KR700604	H1N2	7	Sus scrofa	taxon:1654146
GCA_038164835.1	KR700605	H1N2	8	Sus scrofa	taxon:1654146
GCA_038239435.1	CY038646	H3N2	1	Human	taxon:586169
GCA_038239435.1	CY038645	H3N2	2	Human	taxon:586169
GCA_038239435.1	CY038644	H3N2	3	Human	taxon:586169
GCA_038239435.1	CY038639	H3N2	4	Human	taxon:586169
GCA_038239435.1	CY038642	H3N2	5	Human	taxon:586169
GCA_038239435.1	CY038641	H3N2	6	Human	taxon:586169
GCA_038239435.1	CY038640	H3N2	7	Human	taxon:586169
GCA_038239435.1	CY038643	H3N2	8	Human	taxon:586169
GCA_038164185.1	CY085110	H1N1	1	swine	taxon:991354
GCA_038164185.1	CY085111	H1N1	2	swine	taxon:991354
GCA_038164185.1	CY085112	H1N1	3	swine	taxon:991354
GCA_038164185.1	CY085113	H1N1	4	swine	taxon:991354
GCA_038164185.1	CY085114	H1N1	5	swine	taxon:991354
GCA_038164185.1	CY085115	H1N1	6	swine	taxon:991354
GCA_038164185.1	CY085116	H1N1	7	swine	taxon:991354
GCA_038164185.1	CY085117	H1N1	8	swine	taxon:991354
GCA_038239075.1	CY039174	H3N2	1	Human	taxon:586162
GCA_038239075.1	CY039173	H3N2	2	Human	taxon:586162
GCA_038239075.1	CY039172	H3N2	3	Human	taxon:586162
GCA_038239075.1	CY039167	H3N2	4	Human	taxon:586162
GCA_038239075.1	CY039170	H3N2	5	Human	taxon:586162
GCA_038239075.1	CY039169	H3N2	6	Human	taxon:586162
GCA_038239075.1	CY039168	H3N2	7	Human	taxon:586162
GCA_038239075.1	CY039171	H3N2	8	Human	taxon:586162
GCA_038238785.1	CY118793	H3N2	1	human	taxon:1054719
GCA_038238785.1	CY118792	H3N2	2	human	taxon:1054719
GCA_038238785.1	CY118791	H3N2	3	human	taxon:1054719
GCA_038238785.1	CY118786	H3N2	4	human	taxon:1054719
GCA_038238785.1	CY118789	H3N2	5	human	taxon:1054719
GCA_038238785.1	CY118788	H3N2	6	human	taxon:1054719
GCA_038238785.1	CY118787	H3N2	7	human	taxon:1054719
GCA_038238785.1	CY118790	H3N2	8	human	taxon:1054719
GCA_038266405.1	GU052493	H5N1	1	chicken	taxon:680726
GCA_038266405.1	GU052492	H5N1	2	chicken	taxon:680726
GCA_038266405.1	GU052491	H5N1	3	chicken	taxon:680726
GCA_038266405.1	GU052486	H5N1	4	chicken	taxon:680726
GCA_038266405.1	GU052489	H5N1	5	chicken	taxon:680726
GCA_038266405.1	GU052488	H5N1	6	chicken	taxon:680726
GCA_038266405.1	GU052487	H5N1	7	chicken	taxon:680726
GCA_038266405.1	GU052490	H5N1	8	chicken	taxon:680726
GCA_037917605.1	CY022004	H2N2	1	Human	taxon:421967
GCA_037917605.1	CY022003	H2N2	2	Human	taxon:421967
GCA_037917605.1	CY022002	H2N2	3	Human	taxon:421967
GCA_037917605.1	CY021997	H2N2	4	Human	taxon:421967
GCA_037917605.1	CY022000	H2N2	5	Human	taxon:421967
GCA_037917605.1	CY021999	H2N2	6	Human	taxon:421967
GCA_037917605.1	CY021998	H2N2	7	Human	taxon:421967
GCA_037917605.1	CY022001	H2N2	8	Human	taxon:421967
GCA_038159695.1	CY022484	H1N1	1	Swine	taxon:441597
GCA_038159695.1	CY022483	H1N1	2	Swine	taxon:441597
GCA_038159695.1	CY022482	H1N1	3	Swine	taxon:441597
GCA_038159695.1	CY022477	H1N1	4	Swine	taxon:441597
GCA_038159695.1	CY022480	H1N1	5	Swine	taxon:441597
GCA_038159695.1	CY022479	H1N1	6	Swine	taxon:441597
GCA_038159695.1	CY022478	H1N1	7	Swine	taxon:441597
GCA_038159695.1	CY022481	H1N1	8	Swine	taxon:441597
GCA_038159425.1	KC737864	H1N1	1	Homo sapiens; female; 6 years	taxon:1043037
GCA_038159425.1	KC738133	H1N1	2	Homo sapiens; female; 6 years	taxon:1043037
GCA_038159425.1	KC738403	H1N1	3	Homo sapiens; female; 6 years	taxon:1043037
GCA_038159425.1	KC738827	H1N1	4	Homo sapiens; female; 6 years	taxon:1043037
GCA_038159425.1	CY091984	H1N1	5	human; gender F; age 6	taxon:1043037
GCA_038159425.1	KC739284	H1N1	6	Homo sapiens; female; 6 years	taxon:1043037
GCA_038159425.1	KC739550	H1N1	7	Homo sapiens; female; 6 years	taxon:1043037
GCA_038159425.1	KC739819	H1N1	8	Homo sapiens; female; 6 years	taxon:1043037
GCA_038238285.1	CY039030	H3N2	1	Human	taxon:586163
GCA_038238285.1	CY039029	H3N2	2	Human	taxon:586163
GCA_038238285.1	CY039028	H3N2	3	Human	taxon:586163
GCA_038238285.1	CY039023	H3N2	4	Human	taxon:586163
GCA_038238285.1	CY039026	H3N2	5	Human	taxon:586163
GCA_038238285.1	CY039025	H3N2	6	Human	taxon:586163
GCA_038238285.1	CY039024	H3N2	7	Human	taxon:586163
GCA_038238285.1	CY039027	H3N2	8	Human	taxon:586163
GCA_038159205.1	CY037996	H1N1	1	swine	taxon:624777
GCA_038159205.1	CY037997	H1N1	2	swine	taxon:624777
GCA_038159205.1	CY037998	H1N1	3	swine	taxon:624777
GCA_038159205.1	CY037999	H1N1	4	swine	taxon:624777
GCA_038159205.1	CY038000	H1N1	5	swine	taxon:624777
GCA_038159205.1	CY038001	H1N1	6	swine	taxon:624777
GCA_038159205.1	CY038002	H1N1	7	swine	taxon:624777
GCA_038159205.1	CY038003	H1N1	8	swine	taxon:624777
GCA_038159375.1	CY116304	H1N1	1	swine	taxon:1176078
GCA_038159375.1	CY116305	H1N1	2	swine	taxon:1176078
GCA_038159375.1	CY116306	H1N1	3	swine	taxon:1176078
GCA_038159375.1	CY116307	H1N1	4	swine	taxon:1176078
GCA_038159375.1	CY116308	H1N1	5	swine	taxon:1176078
GCA_038159375.1	CY116309	H1N1	6	swine	taxon:1176078
GCA_038159375.1	CY116310	H1N1	7	swine	taxon:1176078
GCA_038159375.1	CY116311	H1N1	8	swine	taxon:1176078
GCA_038159385.1	CY030998	H5N1	1	turkey	taxon:511840
GCA_038159385.1	CY030999	H5N1	2	turkey	taxon:511840
GCA_038159385.1	CY031000	H5N1	3	turkey	taxon:511840
GCA_038159385.1	CY031001	H5N1	4	turkey	taxon:511840
GCA_038159385.1	CY031002	H5N1	5	turkey	taxon:511840
GCA_038159385.1	CY031003	H5N1	6	turkey	taxon:511840
GCA_038159385.1	CY031004	H5N1	7	turkey	taxon:511840
GCA_038159385.1	CY031005	H5N1	8	turkey	taxon:511840
GCA_038157395.1	CY039932	H1N1	1	swine	taxon:384487
GCA_038157395.1	CY039931	H1N1	2	swine	taxon:384487
GCA_038157395.1	CY039930	H1N1	3	swine	taxon:384487
GCA_038157395.1	CY039925	H1N1	4	swine	taxon:384487
GCA_038157395.1	CY039928	H1N1	5	swine	taxon:384487
GCA_038157395.1	CY039927	H1N1	6	swine	taxon:384487
GCA_038157395.1	CY039926	H1N1	7	swine	taxon:384487
GCA_038157395.1	CY039929	H1N1	8	swine	taxon:384487
GCA_038237705.1	CY040305	H3N2	1	Human	taxon:586156
GCA_038237705.1	CY040304	H3N2	2	Human	taxon:586156
GCA_038237705.1	CY040303	H3N2	3	Human	taxon:586156
GCA_038237705.1	CY040298	H3N2	4	Human	taxon:586156
GCA_038237705.1	CY040301	H3N2	5	Human	taxon:586156
GCA_038237705.1	CY040300	H3N2	6	Human	taxon:586156
GCA_038237705.1	CY040299	H3N2	7	Human	taxon:586156
GCA_038237705.1	CY040302	H3N2	8	Human	taxon:586156
GCA_038157365.1	KC737977	H3N2	1	Homo sapiens; female; 7 years	taxon:1043069
GCA_038157365.1	KC738245	H3N2	2	Homo sapiens; female; 7 years	taxon:1043069
GCA_038157365.1	KC738515	H3N2	3	Homo sapiens; female; 7 years	taxon:1043069
GCA_038157365.1	KC738671	H3N2	4	Homo sapiens; female; 7 years	taxon:1043069
GCA_038157365.1	CY091979	H3N2	5	human; gender F; age 7	taxon:1043069
GCA_038157365.1	KC739125	H3N2	6	Homo sapiens; female; 7 years	taxon:1043069
GCA_038157365.1	KC739395	H3N2	7	Homo sapiens; female; 7 years	taxon:1043069
GCA_038157365.1	KC739661	H3N2	8	Homo sapiens; female; 7 years	taxon:1043069
GCA_038237285.1	CY038990	H3N2	1	Human	taxon:586152
GCA_038237285.1	CY038989	H3N2	2	Human	taxon:586152
GCA_038237285.1	CY038988	H3N2	3	Human	taxon:586152
GCA_038237285.1	CY038983	H3N2	4	Human	taxon:586152
GCA_038237285.1	CY038986	H3N2	5	Human	taxon:586152
GCA_038237285.1	CY038985	H3N2	6	Human	taxon:586152
GCA_038237285.1	CY038984	H3N2	7	Human	taxon:586152
GCA_038237285.1	CY038987	H3N2	8	Human	taxon:586152
GCA_037941635.1	KJ889412	H3N6	1	swine	taxon:1503435
GCA_037941635.1	KJ889413	H3N6	2	swine	taxon:1503435
GCA_037941635.1	KJ889414	H3N6	3	swine	taxon:1503435
GCA_037941635.1	KJ889415	H3N6	4	swine	taxon:1503435
GCA_037941635.1	KJ889416	H3N6	5	swine	taxon:1503435
GCA_037941635.1	KJ889417	H3N6	6	swine	taxon:1503435
GCA_037941635.1	KJ889418	H3N6	7	swine	taxon:1503435
GCA_037941635.1	KJ889419	H3N6	8	swine	taxon:1503435
GCA_037933105.1	CY026458	H1N1	1	Swine	taxon:458003
GCA_037933105.1	CY026457	H1N1	2	Swine	taxon:458003
GCA_037933105.1	CY026456	H1N1	3	Swine	taxon:458003
GCA_037933105.1	CY026451	H1N1	4	Swine	taxon:458003
GCA_037933105.1	CY026454	H1N1	5	Swine	taxon:458003
GCA_037933105.1	CY026453	H1N1	6	Swine	taxon:458003
GCA_037933105.1	CY026452	H1N1	7	Swine	taxon:458003
GCA_037933105.1	CY026455	H1N1	8	Swine	taxon:458003
GCA_037933095.1	CY022388	H1N1	1	Swine	taxon:441578
GCA_037933095.1	CY022387	H1N1	2	Swine	taxon:441578
GCA_037933095.1	CY022386	H1N1	3	Swine	taxon:441578
GCA_037933095.1	CY022381	H1N1	4	Swine	taxon:441578
GCA_037933095.1	CY022384	H1N1	5	Swine	taxon:441578
GCA_037933095.1	CY022383	H1N1	6	Swine	taxon:441578
GCA_037933095.1	CY022382	H1N1	7	Swine	taxon:441578
GCA_037933095.1	CY022385	H1N1	8	Swine	taxon:441578
GCA_037931685.1	CY084942	H1N1	1	swine	taxon:991325
GCA_037931685.1	CY084943	H1N1	2	swine	taxon:991325
GCA_037931685.1	CY084944	H1N1	3	swine	taxon:991325
GCA_037931685.1	CY084945	H1N1	4	swine	taxon:991325
GCA_037931685.1	CY084946	H1N1	5	swine	taxon:991325
GCA_037931685.1	CY084947	H1N1	6	swine	taxon:991325
GCA_037931685.1	CY084948	H1N1	7	swine	taxon:991325
GCA_037931685.1	CY084949	H1N1	8	swine	taxon:991325
GCA_037931705.1	CY084950	H1N1	1	swine	taxon:991386
GCA_037931705.1	CY084951	H1N1	2	swine	taxon:991386
GCA_037931705.1	CY084952	H1N1	3	swine	taxon:991386
GCA_037931705.1	CY084953	H1N1	4	swine	taxon:991386
GCA_037931705.1	CY084954	H1N1	5	swine	taxon:991386
GCA_037931705.1	CY084955	H1N1	6	swine	taxon:991386
GCA_037931705.1	CY084956	H1N1	7	swine	taxon:991386
GCA_037931705.1	CY084957	H1N1	8	swine	taxon:991386
GCA_037932445.1	CY022452	H1N1	1	Swine	taxon:441589
GCA_037932445.1	CY022451	H1N1	2	Swine	taxon:441589
GCA_037932445.1	CY022450	H1N1	3	Swine	taxon:441589
GCA_037932445.1	CY022445	H1N1	4	Swine	taxon:441589
GCA_037932445.1	CY022448	H1N1	5	Swine	taxon:441589
GCA_037932445.1	CY022447	H1N1	6	Swine	taxon:441589
GCA_037932445.1	CY022446	H1N1	7	Swine	taxon:441589
GCA_037932445.1	CY022449	H1N1	8	Swine	taxon:441589
GCA_038235665.1	CY039166	H3N2	1	Human	taxon:586143
GCA_038235665.1	CY039165	H3N2	2	Human	taxon:586143
GCA_038235665.1	CY039164	H3N2	3	Human	taxon:586143
GCA_038235665.1	CY039159	H3N2	4	Human	taxon:586143
GCA_038235665.1	CY039162	H3N2	5	Human	taxon:586143
GCA_038235665.1	CY039161	H3N2	6	Human	taxon:586143
GCA_038235665.1	CY039160	H3N2	7	Human	taxon:586143
GCA_038235665.1	CY039163	H3N2	8	Human	taxon:586143
GCA_037931395.1	CY005913	H4N2	1	Avian	taxon:383603
GCA_037931395.1	CY005912	H4N2	2	Avian	taxon:383603
GCA_037931395.1	CY005911	H4N2	3	Avian	taxon:383603
GCA_037931395.1	CY014751	H4N2	4	Avian	taxon:383603
GCA_037931395.1	CY005909	H4N2	5	Avian	taxon:383603
GCA_037931395.1	CY005908	H4N2	6	Avian	taxon:383603
GCA_037931395.1	CY005907	H4N2	7	Avian	taxon:383603
GCA_037931395.1	CY005910	H4N2	8	Avian	taxon:383603
GCA_037929165.1	CY022412	H1N1	1	Swine	taxon:441582
GCA_037929165.1	CY022411	H1N1	2	Swine	taxon:441582
GCA_037929165.1	CY022410	H1N1	3	Swine	taxon:441582
GCA_037929165.1	CY022405	H1N1	4	Swine	taxon:441582
GCA_037929165.1	CY022408	H1N1	5	Swine	taxon:441582
GCA_037929165.1	CY022407	H1N1	6	Swine	taxon:441582
GCA_037929165.1	CY022406	H1N1	7	Swine	taxon:441582
GCA_037929165.1	CY022409	H1N1	8	Swine	taxon:441582
GCA_038218355.1	CY118673	H3N2	1	human	taxon:1054703
GCA_038218355.1	CY118672	H3N2	2	human	taxon:1054703
GCA_038218355.1	CY118671	H3N2	3	human	taxon:1054703
GCA_038218355.1	CY118666	H3N2	4	human	taxon:1054703
GCA_038218355.1	CY118669	H3N2	5	human	taxon:1054703
GCA_038218355.1	CY118668	H3N2	6	human	taxon:1054703
GCA_038218355.1	CY118667	H3N2	7	human	taxon:1054703
GCA_038218355.1	CY118670	H3N2	8	human	taxon:1054703
GCA_037924905.1	CY084470	H1N1	1	swine	taxon:991454
GCA_037924905.1	CY084471	H1N1	2	swine	taxon:991454
GCA_037924905.1	CY084472	H1N1	3	swine	taxon:991454
GCA_037924905.1	CY084473	H1N1	4	swine	taxon:991454
GCA_037924905.1	CY084474	H1N1	5	swine	taxon:991454
GCA_037924905.1	CY084475	H1N1	6	swine	taxon:991454
GCA_037924905.1	CY084476	H1N1	7	swine	taxon:991454
GCA_037924905.1	CY084477	H1N1	8	swine	taxon:991454
GCA_038222975.1	CY118705	H3N2	1	human	taxon:1054708
GCA_038222975.1	CY118704	H3N2	2	human	taxon:1054708
GCA_038222975.1	CY118703	H3N2	3	human	taxon:1054708
GCA_038222975.1	CY118698	H3N2	4	human	taxon:1054708
GCA_038222975.1	CY118701	H3N2	5	human	taxon:1054708
GCA_038222975.1	CY118700	H3N2	6	human	taxon:1054708
GCA_038222975.1	CY118699	H3N2	7	human	taxon:1054708
GCA_038222975.1	CY118702	H3N2	8	human	taxon:1054708
GCA_037924315.1	CY022308	H1N1	1	Swine	taxon:437358
GCA_037924315.1	CY022307	H1N1	2	Swine	taxon:437358
GCA_037924315.1	CY022306	H1N1	3	Swine	taxon:437358
GCA_037924315.1	CY022301	H1N1	4	Swine	taxon:437358
GCA_037924315.1	CY022304	H1N1	5	Swine	taxon:437358
GCA_037924315.1	CY022303	H1N1	6	Swine	taxon:437358
GCA_037924315.1	CY022302	H1N1	7	Swine	taxon:437358
GCA_037924315.1	CY022305	H1N1	8	Swine	taxon:437358
GCA_037919945.1	LC431375	H3N8	1	Anseriformes sp.	taxon:11320
GCA_037919945.1	LC431376	H3N8	2	Anseriformes sp.	taxon:11320
GCA_037919945.1	LC431377	H3N8	3	Anseriformes sp.	taxon:11320
GCA_037919945.1	LC431378	H3N8	4	Anseriformes sp.	taxon:11320
GCA_037919945.1	LC431379	H3N8	5	Anseriformes sp.	taxon:11320
GCA_037919945.1	LC431380	H3N8	6	Anseriformes sp.	taxon:11320
GCA_037919945.1	LC431381	H3N8	7	Anseriformes sp.	taxon:11320
GCA_037919945.1	LC431382	H3N8	8	Anseriformes sp.	taxon:11320
GCA_038216435.1	CY004359	H10N7	1	Avian	taxon:352708
GCA_038216435.1	CY004358	H10N7	2	Avian	taxon:352708
GCA_038216435.1	CY004357	H10N7	3	Avian	taxon:352708
GCA_038216435.1	CY005922	H10N7	4	Avian	taxon:352708
GCA_038216435.1	CY004355	H10N7	5	Avian	taxon:352708
GCA_038216435.1	CY004354	H10N7	6	Avian	taxon:352708
GCA_038216435.1	CY004353	H10N7	7	Avian	taxon:352708
GCA_038216435.1	CY004356	H10N7	8	Avian	taxon:352708
GCA_037923955.1	CY025212	H1N1	1	Swine	taxon:437349
GCA_037923955.1	CY025211	H1N1	2	Swine	taxon:437349
GCA_037923955.1	CY025210	H1N1	3	Swine	taxon:437349
GCA_037923955.1	CY025205	H1N1	4	Swine	taxon:437349
GCA_037923955.1	CY025208	H1N1	5	Swine	taxon:437349
GCA_037923955.1	CY025207	H1N1	6	Swine	taxon:437349
GCA_037923955.1	CY025206	H1N1	7	Swine	taxon:437349
GCA_037923955.1	CY025209	H1N1	8	Swine	taxon:437349
GCA_037924055.1	CY022148	H1N1	1	Swine	taxon:437354
GCA_037924055.1	CY022147	H1N1	2	Swine	taxon:437354
GCA_037924055.1	CY022146	H1N1	3	Swine	taxon:437354
GCA_037924055.1	CY022141	H1N1	4	Swine	taxon:437354
GCA_037924055.1	CY022144	H1N1	5	Swine	taxon:437354
GCA_037924055.1	CY022143	H1N1	6	Swine	taxon:437354
GCA_037924055.1	CY022142	H1N1	7	Swine	taxon:437354
GCA_037924055.1	CY022145	H1N1	8	Swine	taxon:437354
GCA_038262545.1	CY010091	H3N2	1	human	taxon:353473
GCA_038262545.1	CY010090	H3N2	2	human	taxon:353473
GCA_038262545.1	CY010089	H3N2	3	human	taxon:353473
GCA_038262545.1	CY010084	H3N2	4	human	taxon:353473
GCA_038262545.1	CY010087	H3N2	5	human	taxon:353473
GCA_038262545.1	CY010086	H3N2	6	human	taxon:353473
GCA_038262545.1	CY010085	H3N2	7	human	taxon:353473
GCA_038262545.1	CY010088	H3N2	8	human	taxon:353473
GCA_037921395.1	CY179194	H1N9	1	thick-billed murre	taxon:1406602
GCA_037921395.1	CY179193	H1N9	2	thick-billed murre	taxon:1406602
GCA_037921395.1	CY179192	H1N9	3	thick-billed murre	taxon:1406602
GCA_037921395.1	CY179187	H1N9	4	thick-billed murre	taxon:1406602
GCA_037921395.1	CY179190	H1N9	5	thick-billed murre	taxon:1406602
GCA_037921395.1	CY179189	H1N9	6	thick-billed murre	taxon:1406602
GCA_037921395.1	CY179188	H1N9	7	thick-billed murre	taxon:1406602
GCA_037921395.1	CY179191	H1N9	8	thick-billed murre	taxon:1406602
GCA_037921655.1	CY028194	H1N1	1	Swine	taxon:458023
GCA_037921655.1	CY028193	H1N1	2	Swine	taxon:458023
GCA_037921655.1	CY028192	H1N1	3	Swine	taxon:458023
GCA_037921655.1	CY028187	H1N1	4	Swine	taxon:458023
GCA_037921655.1	CY028190	H1N1	5	Swine	taxon:458023
GCA_037921655.1	CY028189	H1N1	6	Swine	taxon:458023
GCA_037921655.1	CY028188	H1N1	7	Swine	taxon:458023
GCA_037921655.1	CY028191	H1N1	8	Swine	taxon:458023
GCA_037923505.1	CY026490	H1N1	1	Swine	taxon:458007
GCA_037923505.1	CY026489	H1N1	2	Swine	taxon:458007
GCA_037923505.1	CY026488	H1N1	3	Swine	taxon:458007
GCA_037923505.1	CY026483	H1N1	4	Swine	taxon:458007
GCA_037923505.1	CY026486	H1N1	5	Swine	taxon:458007
GCA_037923505.1	CY026485	H1N1	6	Swine	taxon:458007
GCA_037923505.1	CY026484	H1N1	7	Swine	taxon:458007
GCA_037923505.1	CY026487	H1N1	8	Swine	taxon:458007
GCA_037923875.1	CY022132	H1N1	1	Swine	taxon:437347
GCA_037923875.1	CY022131	H1N1	2	Swine	taxon:437347
GCA_037923875.1	CY022130	H1N1	3	Swine	taxon:437347
GCA_037923875.1	CY022125	H1N1	4	Swine	taxon:437347
GCA_037923875.1	CY022128	H1N1	5	Swine	taxon:437347
GCA_037923875.1	CY022127	H1N1	6	Swine	taxon:437347
GCA_037923875.1	CY022126	H1N1	7	Swine	taxon:437347
GCA_037923875.1	CY022129	H1N1	8	Swine	taxon:437347
GCA_038209305.1	GQ257510	H2N3	1	mallard	taxon:652003
GCA_038209305.1	GQ257509	H2N3	2	mallard	taxon:652003
GCA_038209305.1	GQ257508	H2N3	3	mallard	taxon:652003
GCA_038209305.1	GQ257503	H2N3	4	mallard	taxon:652003
GCA_038209305.1	GQ257506	H2N3	5	mallard	taxon:652003
GCA_038209305.1	GQ257505	H2N3	6	mallard	taxon:652003
GCA_038209305.1	GQ257504	H2N3	7	mallard	taxon:652003
GCA_038209305.1	GQ257507	H2N3	8	mallard	taxon:652003
GCA_037920675.1	CY022108	H1N1	1	Swine	taxon:437342
GCA_037920675.1	CY022107	H1N1	2	Swine	taxon:437342
GCA_037920675.1	CY022106	H1N1	3	Swine	taxon:437342
GCA_037920675.1	CY022101	H1N1	4	Swine	taxon:437342
GCA_037920675.1	CY022104	H1N1	5	Swine	taxon:437342
GCA_037920675.1	CY022103	H1N1	6	Swine	taxon:437342
GCA_037920675.1	CY022102	H1N1	7	Swine	taxon:437342
GCA_037920675.1	CY022105	H1N1	8	Swine	taxon:437342
GCA_038202995.1	CY003991	H2N4	1	Avian	taxon:352792
GCA_038202995.1	CY003990	H2N4	2	Avian	taxon:352792
GCA_038202995.1	CY003989	H2N4	3	Avian	taxon:352792
GCA_038202995.1	CY003984	H2N4	4	Avian	taxon:352792
GCA_038202995.1	CY003987	H2N4	5	Avian	taxon:352792
GCA_038202995.1	CY003986	H2N4	6	Avian	taxon:352792
GCA_038202995.1	CY003985	H2N4	7	Avian	taxon:352792
GCA_038202995.1	CY003988	H2N4	8	Avian	taxon:352792
GCA_038203145.1	CY137529	H1N1	1	mallard; gender F; age hatch year	taxon:1283485
